Category,Organization / Institute Name,Website Link
Academics,University Grants Commission,https://www.ugc.gov.in/
Academics,Central Board Of Secondary Education,https://www.cbse.gov.in/
Academics,Delhi University,https://www.du.ac.in/
Academics,Jawaharlal Nehru University,https://www.jnu.ac.in/
Academics,National Council for Teacher Education,https://ncte.gov.in/
Academics,National Council for Educational Research & Training,https://ncert.nic.in/
Academics,Ministry of Education,https://www.education.gov.in/
Academics,Academic Bank of Credits (ABC) ID / APAAR ID,https://www.abc.gov.in/
Aviation,Directorate General of Civil Aviation,https://www.dgca.gov.in/
Aviation,IATA training,https://www.iata.org/en/training/
Aviation,Ministry of Civil Aviation,https://www.civilaviation.gov.in/
Aviation,Indira Gandhi Rashtriya Uran Akademi,https://igrua.gov.in/
Banking,Reserve Bank of India,https://www.rbi.org.in/
Banking,State Bank of India,https://sbi.co.in/
Banking,NABARD,https://www.nabard.org/
Banking,EPFO,https://www.epfindia.gov.in/
Banking,Department of Personal & Training,https://dopt.gov.in/
Defence,National Defence Academy,https://nda.nic.in/
Defence,Indian Army,https://indianarmy.nic.in/
Defence,Join Indian Army,https://joinindianarmy.nic.in/
Defence,Indian Air Force,https://indianairforce.nic.in/
Defence,Indian Navy,https://indiannavy.nic.in/
Engineering,All India Council of Technical Education,https://www.aicte-india.org/
Engineering,The Institutions of Engineers (India),https://www.ieindia.org/
Engineering,IIT-Kharagpur,https://www.iitkgp.ac.in/
Engineering,Bureau of Energy Efficiency,https://beeindia.gov.in/
Finance/Accounts,The Institute Of Chartered Accountant,https://www.icai.org/
Finance/Accounts,The Institute Of Company Secretaries of India,https://www.icsi.edu/
Finance/Accounts,National Stock exchange of India,https://www.nseindia.com/
Finance/Accounts,Bombay Stock Exchange,https://www.bseindia.com/
Finance/Accounts,Indian Institute of Finance,https://www.iif.edu/
Finance/Accounts,Indian Institute of Statistical Institute,https://www.isical.ac.in/
Hospitality,Incredible India,https://www.incredibleindia.org/
Hospitality,Ministry of Tourism,https://tourism.gov.in/
IT,NASSCOM,https://nasscom.in/
IT,Ministry of Electronics and IT,https://www.meity.gov.in/
IT,NIELIT,https://nielit.gov.in/
IT,Centre For Development of Advance Computing,https://www.cdac.in/
IT,Indian Institute of Technology Madras,https://www.iitm.ac.in/
Law,Supreme Court of India,https://main.sci.gov.in/
Law,Ministry of Law & Justice,https://lawmin.gov.in/
Law,National Commission for Women,https://ncw.nic.in/
Law,Central Administrative Tribunal,https://cgat.gov.in/
Library Science,Raja Rammohun Roy Library foundation,https://rrrlf.gov.in/
Library Science,National Archives Of India,https://nationalarchives.nic.in/
Management,Indian Institute of Management Calcutta,https://www.iimcal.ac.in/
Management,Indian Institute of Management Ahmedabad,https://www.iima.ac.in/
Management,Indian Institute of Management Bangalore,https://www.iimb.ac.in/
Management,Indian Institute of Management Lucknow,https://www.iiml.ac.in/
Management,Indian Institute of Management Kohzikode,https://www.iimk.ac.in/
Management,Indian Institute of Management Indore,https://www.iimidr.ac.in/
Media,Indian Institute of Mass Commission,https://iimc.gov.in/
Media,Publications Division,https://www.publicationsdivision.nic.in/
Media,Doordarshan,https://prasarbharati.gov.in/
Media,Directorate Of Advertising and Visual Publicity,https://cbcindia.gov.in/
Media,Press Information Bureau,https://pib.gov.in/
Medicine,Ministry of Health & Welfare,https://mohfw.gov.in/
Medicine,Department of Ayurveda Yoga & Naturopathy Unani Siddha and Homoeopathy (AYUSH),https://ayush.gov.in/
Medicine,National Aids Control Organisation,https://naco.gov.in/
Medicine,Armed Forces Medical College,https://afmc.nic.in/
Transportation,Indian Railways,https://indianrailways.gov.in/
Transportation,Ministry of Railways,https://indianrailways.gov.in/
Transportation,IRCON,https://www.ircon.org/
Transportation,Indian Railway Catering and Tourism,https://www.irctc.co.in/
Transportation,Parivahan Sewa,https://parivahan.gov.in/
Transportation,Jawaharlal Nehru Technological University,https://jntuh.ac.in/
Trade,Indian Institute of Social Welfare and Business Management Kolkata,https://www.iiswbm.edu/
Trade,CSIR-UGC (NET),https://csirnet.nta.nic.in/
Trade,Indian Council of Medical Research,https://main.icmr.nic.in/
Trade,Central Institute of Fisheries Nautical and Engineering Training,https://cifnet.gov.in/
Science-IPR/PATENTS,Patent Office Govt of India,https://ipindia.gov.in/
Science-IPR/PATENTS,Rajiv Gandhi National Institute of Intellectual Property Management,https://ipindia.gov.in/rgniipm.htm
Science-IPR/PATENTS,National Law University,https://nludelhi.ac.in/
Entrepreneurship,Central Marine Fisheries Research Institute Kochi,https://www.cmfri.org.in/
Entrepreneurship,Tata Institute of Social Sciences Mumbai,https://tiss.edu/
Entrepreneurship,Ministry of Labour & Employment,https://labour.gov.in/
Entrepreneurship,StartUp India,https://www.startupindia.gov.in/
Pharmacy,Pharmacy Council of India,https://www.pci.nic.in/
Pharmacy,Jamia Hamdard,https://jamiahamdard.edu/
Pharmacy,National Institute of Pharmaceutical Education & Research (NIPER) S.A.S. Nagar Punjab,https://niper.gov.in/